States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date
Average Price,29.59,23.68,26.16,75.3,74.19,76.28,73.15,62.3,41.69,41.87,126.71,106,79.04,87.3,94.26,72.43,44.66,203.44,14.93,14.9,41.8,24.53,1/1/2018
Maximum Price,52,46,48,132,132,130,100,105,48,56,170,165,115,120,126,95,66,280,20,40,55,60,1/1/2018
Minimum Price,20,16,20,56,54,50,55,45,35,28,88,80,62,70,78,62,30,120,8,6,23,7,1/1/2018
Modal Price,25,18,24,70,70,70,80,55,42,40,140,100,70,85,85,70,40,220,18,10,40,20,1/1/2018
Andhra Pradesh,30,27.5,30.25,77.5,66,75.25,74.25,57.5,42,41.75,105.75,117.5,70.25,87,84.5,68.5,45.75,210.75,13.5,15.75,37.75,9.5,1/1/2018
Assam,30,26,29,70,70,70,75,65,44,56,0,90,75,90,100,0,47,200,12,14,48,55,1/1/2018
Bihar,28.67,18,21.67,71.67,69,75.67,69.33,55,41.33,39.33,0,93.33,73.33,89.33,97,72,36,194.33,14,10,43.33,21.67,1/1/2018
Chandigarh,28,23,25,68,64,64,65,55,42,44,128,105,75,85,92,0,37,220,16,10,0,0,1/1/2018
Chhattisgarh,24.8,26.2,27.2,74.8,69.4,62,72.6,56,41,41.8,124.8,102.2,70.2,89.2,93.8,79,43.6,183.8,11.6,12,43.6,16,1/1/2018
Delhi,34,19,23,83,82,87,84,74,40,42,164,120,88,102,109,78,53,231,17,16,53,32,1/1/2018
Goa,42,30,28,90,70,110,90,70,40,50,170,159,115,96,115,79,60,240,17,25,47,25,1/1/2018
Gujarat,23.75,20.75,24,70,71.75,68.75,66.75,56,40,50.5,102.75,88.5,73.5,80,81.5,69,50.5,213.75,14.75,12,35.5,30.75,1/1/2018
Haryana,31,21,25.25,70.25,74.75,72.25,65.75,57.5,40.75,43.75,135.75,99,78.25,89.25,99,71.25,42,235,18.5,15.25,47.5,31.25,1/1/2018
Himachal Pradesh,31,0,23.75,67.5,72,68.25,69.75,58.25,43.25,34.25,135,125.25,88,87,90,73,42,177.5,17.5,10.75,44,29,1/1/2018
Jammu and Kashmir,30.5,21.5,24.5,86,85.5,85.5,75,63,47,38.5,0,119.5,94,112.5,120,95,40,230,18,15,47.5,25,1/1/2018
Jharkhand,34,24,25,75,70,70,75,55,42,42,145,107,75,104,104,76,38,260,18,13,40,20,1/1/2018
Karnataka,48,33,32,109,88,109,78.5,98.5,41.5,36,145.5,140,87.5,83.5,86.5,73,55,247.5,10.5,21,41.5,11.5,1/1/2018
Kerala,40.67,35.33,37.5,80.83,72.5,80.17,75.67,63.5,42,43,128,134.67,91.75,93,89,71.25,57.33,177.83,10.67,29.5,49.5,23.25,1/1/2018
Madhya Pradesh,24.33,18.83,22.17,71.83,67.83,67.17,62.5,55,41,44.33,125.17,86.17,68.33,77.17,88.17,67.33,40,217.33,15.83,11.67,35.5,24.5,1/1/2018
Maharashtra,34.5,25.5,30.25,74.75,68.25,76.5,77.75,58.75,40,39.75,121,126.25,81.5,82.25,90,73.25,44.5,236,16.5,17.25,34.5,24.75,1/1/2018
Odisha,25.5,0,24.25,61.5,63.75,59,69,51.75,41.5,34,0,97.5,73.75,84.5,92,78,41.25,180,17,8.75,41.25,19,1/1/2018
Puducherry,32,34,28,76,76,80,76,55,40,36,127,132,100,0,88,75,55,250,17,20,40,10,1/1/2018
Punjab,31.5,19,23.5,78.5,83,81,80,70,42,48,153,98.5,87,91,103,0,49.5,207.5,18,10.5,39,27.5,1/1/2018
Rajasthan,28.5,18,22,63,59.5,60,57,52,42,38,118,82,69.5,76,95,0,40,190,13.5,8.5,30,17.5,1/1/2018
Tamil Nadu,37,30.67,30,72.33,71.67,75.33,74.67,59.5,39.33,36,134.67,114.5,94.67,90,91,72.33,55.33,220,17,19.33,41.67,9,1/1/2018
Telangana,27.33,26.83,28.5,94.67,93.33,97.67,80.83,72.17,42.33,39.83,116.83,104.25,67.67,82.67,84.17,64.33,41.67,182,13,25.33,40.33,17,1/1/2018
Tripura,31,0,31,78,0,80,76,69,47,40,0,117,70,103,0,0,53,178,19,19,54,51,1/1/2018
Uttar Pradesh,24.25,18.25,21.38,67.63,66.13,64.25,67.63,55.63,40.5,48.38,129.14,104.25,81,92.29,107.71,76.5,39.63,196.88,15.88,9.75,38.5,24.25,1/1/2018
Uttarakhand,23.25,21.5,23.5,77.25,91.75,92.5,82.75,86.25,42.5,42.75,134.75,93.5,83.75,83.75,105.75,0,41,206.25,18,21.25,50,41.75,1/1/2018
West Bengal,28.67,17.4,23.5,72.83,84.83,88.5,82.5,69.83,43.67,39.67,122,98,80.5,85.5,92.33,68.83,43,188.33,11.67,9.17,45.83,38,1/1/2018
Average Price,29.62,23.3,26.01,75.33,74.2,76.09,73.34,62.61,41.82,41.96,127.13,105.69,78.63,87.21,94.62,73.33,44.88,207.06,15.16,14.6,41.93,24.89,2/1/2018
Maximum Price,52,36,50,132,132,130,100,105,52,64,170,165,121,120,126,98,80,280,20,30,70,60,2/1/2018
Minimum Price,20,16,20,56,54,50,55,45,36,28,88,80,62,70,75,62,30,120,9,7,20,7,2/1/2018
Modal Price,25,18,24,70,70,70,80,52.5,42,40,140,100,70,85,93.33,73,40,220,17,10,40,20,2/1/2018
Andaman and Nicobar,33,36,50,82,76,88,81,64,52,60,0,148,121,0,115,94,74,208,12,24,60,30,2/1/2018
Andhra Pradesh,30,27.5,29.5,77.25,67,75.75,75,57.5,41.25,41.75,105.75,116.75,68.25,87,84.75,67.5,45.75,212,13.5,15.75,38,9.5,2/1/2018
Assam,30,26,29,70,70,70,75,65,44,56,0,90,75,90,100,0,47,200,12,12,48,55,2/1/2018
Bihar,28.67,18,21.67,71.67,69,75.67,69.33,55,41.33,39.33,0,93.33,73.33,89.33,97,72,36,194.33,14,10,43.33,21.67,2/1/2018
Chandigarh,28,23,25,68,64,64,65,55,42,44,128,105,75,85,92,0,37,220,16,10,42,30,2/1/2018
